timestamp,open,high,low,close,volume
2026-01-05 09:15:00,22000,22020,21980,22010,150000
2026-01-05 09:16:00,22010,22030,22000,22025,120000
2026-01-05 09:17:00,22025,22045,22020,22040,130000
2026-01-05 09:18:00,22040,22050,22030,22045,140000
2026-01-05 09:19:00,22045,22060,22040,22055,160000
2026-01-05 09:20:00,22055,22070,22050,22065,170000
2026-01-05 09:21:00,22065,22080,22060,22075,180000
2026-01-05 09:22:00,22075,22090,22070,22085,190000
2026-01-05 09:23:00,22085,22100,22080,22095,200000
2026-01-05 09:24:00,22095,22110,22090,22105,210000
2026-01-05 09:25:00,22105,22120,22100,22115,220000
2026-01-05 09:26:00,22115,22130,22110,22125,230000
2026-01-05 09:27:00,22125,22140,22120,22135,240000
2026-01-05 09:28:00,22135,22150,22130,22145,250000
2026-01-05 09:29:00,22145,22160,22140,22155,260000
2026-01-05 09:30:00,22155,22170,22150,22165,270000
2026-01-05 09:31:00,22165,22180,22160,22175,280000
2026-01-05 09:32:00,22175,22190,22170,22185,290000
2026-01-05 09:33:00,22185,22200,22180,22195,300000
2026-01-05 09:34:00,22195,22210,22190,22205,310000
# --- Range established (high: 22210, low: 21980). Now, create a breakout. ---
2026-01-05 09:35:00,22205,22250,22200,22245,500000
# --- Breakout confirmed. Now, a period of consolidation, followed by a retest. ---
2026-01-05 09:36:00,22245,22260,22240,22255,200000
2026-01-05 09:37:00,22255,22270,22250,22265,210000
2026-01-05 09:38:00,22265,22220,22205,22210,180000 # Retest of the breakout level (22210)
2026-01-05 09:39:00,22210,22240,22208,22235,250000 # Bullish confirmation candle
# --- Trend continues, then a failed breakout pattern ---
2026-01-05 09:40:00,22235,22280,22230,22275,300000
2026-01-05 09:41:00,22275,22300,22270,22295,320000
2026-01-05 09:42:00,22295,22320,22290,22315,350000
2026-01-05 09:43:00,22315,22330,22310,22325,400000 # New high
2026-01-05 09:44:00,22325,22310,22280,22290,380000 # Failed breakout, closes back inside range
2026-01-05 09:45:00,22290,22295,22270,22275,360000
2026-01-05 09:46:00,22275,22280,22250,22260,340000
2026-01-05 09:47:00,22260,22270,22240,22250,330000
2026-01-05 09:48:00,22250,22260,22230,22240,320000
2026-01-05 09:49:00,22240,22250,22220,22230,310000
2026-01-05 09:50:00,22230,22240,22210,22220,300000
